frq,word
20100,the
12093,to
9247,of
9102,and
6523,in
6013,is
5725,it
5697,that
4350,for
3833,on
3670,you
3363,this
2878,with
2570,be
2466,have
2451,not
2436,from
2310,are
2247,as
2187,but
2060,at
2059,or
1864,if
1819,by
1775,list
1747,can
1700,was
1682,they
1601,an
1468,all
1451,my
1401,so
1326,there
1297,has
1286,we
1168,about
1148,one
1146,your
1131,get
1123,just
1116,more
1104,do
1100,what
1057,which
1034,use
1028,will
1009,like
1002,would
983,out
967,some
922,no
917,wrote
910,up
895,their
868,time
850,don
849,when
834,people
834,date
824,only
823,who
804,other
794,he
785,me
781,now
776,new
768,any
749,mailing
736,than
734,been
704,then
698,message
687,them
685,said
644,users
639,re
638,also
621,how
600,think
591,had
588,could
586,into
583,mail
574,way
564,because
553,its
551,here
541,were
541,even
528,should
518,first
513,his
511,world
494,most
485,know
481,same
474,using
474,make
468,our
467,work
462,good
455,see
453,over
451,razor
441,where
439,file
431,well
426,much
423,line
419,does
415,after
414,these
412,may
411,data
408,want
407,still
399,net
398,us
397,many
397,free
395,something
393,group
390,very
390,messages
387,subject
377,problem
371,years
368,such
368,really
367,those
362,two
360,need
355,talk
355,am
352,too
351,being
350,go
345,system
345,right
345,fork
340,find
338,used
338,before
335,information
331,run
329,old
326,since
323,why
323,change
319,say
318,found
315,set
314,through
312,check
309,files
302,web
301,take
299,off
293,last
293,few
289,software
289,got
288,did
288,back
287,home
285,another
283,sure
283,might
281,server
275,groups
274,things
272,own
271,sponsored
268,yahoo
268,without
266,code
265,better
262,long
262,end
261,look
260,while
259,best
259,actually
257,she
256,send
256,apt
255,probably
253,original
251,september
250,running
250,different
249,version
249,user
249,try
249,anyone
248,real
248,once
248,down
247,package
246,someone
245,kernel
245,case
244,thing
244,phone
242,technology
241,next
240,her
238,going
235,point
233,text
233,seems
230,stuff
230,again
229,sent
229,network
229,between
228,every
227,help
224,folder
224,both
224,anything
221,times
221,made
220,though
220,give
217,each
217,done
216,thanks
216,red
215,never
214,supplied
214,day
212,year
212,link
212,error
211,log
209,build
209,around
208,root
207,else
205,high
203,trying
203,maybe
202,type
202,read
200,yes
199,put
197,source
196,won
196,less
196,based
195,must
195,doing
193,number
192,part
190,test
190,lot
189,problems
189,news
188,hat
187,release
187,company
186,today
185,working
184,course
183,keep
183,far
182,packages
182,add
181,writes
181,under
180,great
180,getting
180,come
178,security
178,let
178,install
178,however
178,enough
177,says
177,least
177,government
175,installed
175,discuss
175,content
173,yet
173,state
172,current
172,business
171,instead
171,example
170,page
169,works
169,nothing
168,key
167,alb
167,against
166,please
166,place
166,money
165,support
165,public
164,idea
164,computer
164,big
163,within
159,already
158,tried
157,site
156,windows
156,open
156,bit
156,always
155,un
155,life
155,ever
155,communications
154,thought
153,wrong
153,possible
153,either
152,three
152,rather
151,unseen
151,story
150,issue
150,having
150,devel
150,called
149,received
149,man
149,ham
149,ago
148,him
146,systems
146,service
145,name
145,looking
145,local
144,rights
144,lists
143,wed
143,start
142,seem
142,quite
142,easy
141,java
141,directory
140,tell
140,second
140,fact
139,companies
138,subscription
138,nice
138,cell
137,women
137,seen
137,little
137,law
136,per
136,often
135,week
135,war
135,experience
134,welcome
132,others
132,bad
130,preferences
130,large
130,away
129,stop
129,pretty
129,able
128,workers
128,mon
128,august
127,until
127,show
127,hard
127,anyway
126,include
125,lost
125,looks
125,hit
125,access
124,makes
124,load
124,including
124,false
123,services
123,post
123,person
123,john
123,country
122,tired
122,states
122,means
122,available
121,political
121,geek
121,call
120,word
120,window
120,mean
120,kind
120,global
120,following
119,size
119,lib
119,header
118,true
118,signature
118,question
118,copyright
118,bug
117,single
117,reason
117,posted
117,million
116,sun
116,heaven
115,upon
115,making
115,half
115,address
114,networks
112,top
112,small
112,python
112,perhaps
112,gets
112,configure
111,words
111,rules
111,power
111,interesting
111,headers
111,given
111,almost
110,training
110,job
109,understand
109,industry
109,everything
109,center
109,although
108,write
108,went
108,several
107,similar
107,search
107,love
106,via
106,program
106,os
106,language
106,digital
105,report
105,needs
105,lines
105,latest
105,during
104,whole
104,results
104,process
104,mark
104,hi
104,friends
104,box
103,united
103,performance
103,future
103,bush
103,believe
103,added
102,update
102,needed
102,men
102,guess
102,device
101,university
101,move
101,hardware
101,base
100,return
100,remove
100,exactly
100,currently
100,changed
99,worth
99,recent
99,level
99,known
99,hand
99,echo
99,days
99,bill
98,whether
98,trade
98,tied
98,important
98,application
97,sort
97,machine
97,design
97,article
96,market
96,live
96,full
96,fine
96,family
96,begin
95,told
95,past
95,development
95,behalf
95,across
94,play
94,mind
94,drive
94,built
93,sponsor
93,except
93,capital
93,came
92,select
92,receiving
92,particular
92,client
91,wants
91,value
91,rah
91,order
91,months
91,left
91,clean
91,become
90,total
90,space
90,ideas
90,everyone
89,talking
89,platform
89,lots
89,french
89,early
89,area
88,research
88,project
88,haven
88,happy
88,growing
88,general
88,finding
88,fast
87,script
87,create
86,worked
86,various
86,sex
86,provide
86,personal
86,murphy
86,major
86,later
86,invoked
86,gives
86,form
86,clear
85,unless
85,president
85,oh
85,mime
85,driver
85,daily
84,useful
84,product
84,control
83,together
83,third
83,street
83,saying
83,reading
83,party
83,management
83,join
83,issues
83,folks
83,agree
83,above
82,whatever
82,score
82,main
82,links
82,game
82,forwarded
81,servers
81,pick
81,pay
81,night
81,changes
81,applications
80,tony
80,thinking
80,society
80,skip
80,sequences
80,runs
80,national
80,info
80,hope
80,goes
80,engineer
80,custom
80,along
79,sound
79,simple
79,processing
79,likely
79,human
79,due
78,simply
78,remember
78,memory
78,fall
77,tom
77,solution
77,share
77,record
77,rate
77,building
76,respect
76,month
76,feel
76,exist
76,especially
76,en
76,default
76,corporation
76,command
76,certainly
76,ask
75,wanted
75,usually
75,cost
75,city
75,cannot
74,speed
74,specific
74,school
74,regards
74,programming
74,procedure
74,heard
74,china
74,cheers
74,book
