frq,word,pct
1775,list,0.46694
1148,one,0.302
1131,get,0.29753
1034,use,0.27201
1009,like,0.26543
1002,would,0.26359
917,wrote,0.24123
868,time,0.22834
834,people,0.2194
834,date,0.2194
776,new,0.20414
749,mailing,0.19704
698,message,0.18362
685,said,0.1802
644,users,0.16941
639,re,0.1681
638,also,0.16784
600,think,0.15784
588,could,0.15468
583,mail,0.15337
574,way,0.151
541,even,0.14232
518,first,0.13627
511,world,0.13443
485,know,0.12759
474,using,0.12469
474,make,0.12469
467,work,0.12285
462,good,0.12154
455,see,0.1197
451,razor,0.11864
439,file,0.11549
431,well,0.11338
426,much,0.11207
423,line,0.11128
412,may,0.10838
411,data,0.10812
408,want,0.10733
407,still,0.10707
399,net,0.10496
398,us,0.1047
397,many,0.10444
397,free,0.10444
395,something,0.10391
393,group,0.10339
390,messages,0.1026
387,subject,0.10181
377,problem,0.09918
371,years,0.0976
368,really,0.09681
362,two,0.09523
360,need,0.0947
355,talk,0.09339
350,go,0.09207
345,system,0.09076
345,right,0.09076
345,fork,0.09076
340,find,0.08944
338,used,0.08892
335,information,0.08813
331,run,0.08708
329,old,0.08655
326,since,0.08576
323,change,0.08497
319,say,0.08392
318,found,0.08366
315,set,0.08287
312,check,0.08208
309,files,0.08129
302,web,0.07945
301,take,0.07918
293,last,0.07708
289,software,0.07603
289,got,0.07603
288,back,0.07576
287,home,0.0755
285,another,0.07497
283,sure,0.07445
283,might,0.07445
281,server,0.07392
275,groups,0.07234
274,things,0.07208
271,sponsored,0.07129
268,yahoo,0.0705
268,without,0.0705
266,code,0.06998
265,better,0.06971
262,long,0.06892
262,end,0.06892
261,look,0.06866
259,best,0.06813
259,actually,0.06813
256,send,0.06735
256,apt,0.06735
255,probably,0.06708
253,original,0.06656
251,september,0.06603
250,running,0.06577
250,different,0.06577
249,version,0.0655
249,user,0.0655
249,try,0.0655
249,anyone,0.0655
248,real,0.06524
247,package,0.06498
246,someone,0.06471
245,kernel,0.06445
245,case,0.06445
244,thing,0.06419
244,phone,0.06419
242,technology,0.06366
241,next,0.0634
238,going,0.06261
235,point,0.06182
233,text,0.06129
233,seems,0.06129
230,stuff,0.06051
229,sent,0.06024
229,network,0.06024
228,every,0.05998
227,help,0.05972
224,folder,0.05893
224,anything,0.05893
221,times,0.05814
221,made,0.05814
220,though,0.05787
220,give,0.05787
217,done,0.05709
216,thanks,0.05682
216,red,0.05682
215,never,0.05656
214,supplied,0.0563
214,day,0.0563
212,year,0.05577
212,link,0.05577
212,error,0.05577
211,log,0.05551
209,build,0.05498
209,around,0.05498
208,root,0.05472
207,else,0.05445
205,high,0.05393
203,trying,0.0534
203,maybe,0.0534
202,type,0.05314
202,read,0.05314
200,yes,0.05261
199,put,0.05235
197,source,0.05182
196,won,0.05156
196,less,0.05156
196,based,0.05156
195,must,0.0513
193,number,0.05077
192,part,0.05051
190,test,0.04998
190,lot,0.04998
189,problems,0.04972
189,news,0.04972
188,hat,0.04946
187,release,0.04919
187,company,0.04919
186,today,0.04893
185,working,0.04867
184,course,0.0484
183,keep,0.04814
183,far,0.04814
182,packages,0.04788
182,add,0.04788
181,writes,0.04762
180,great,0.04735
180,getting,0.04735
180,come,0.04735
178,security,0.04683
178,let,0.04683
178,install,0.04683
178,however,0.04683
178,enough,0.04683
177,says,0.04656
177,least,0.04656
177,government,0.04656
175,installed,0.04604
175,discuss,0.04604
175,content,0.04604
173,yet,0.04551
173,state,0.04551
172,current,0.04525
172,business,0.04525
171,instead,0.04498
171,example,0.04498
170,page,0.04472
169,works,0.04446
169,nothing,0.04446
168,key,0.0442
167,alb,0.04393
166,please,0.04367
166,place,0.04367
166,money,0.04367
165,support,0.04341
165,public,0.04341
164,idea,0.04314
164,computer,0.04314
164,big,0.04314
163,within,0.04288
159,already,0.04183
158,tried,0.04156
157,site,0.0413
156,windows,0.04104
156,open,0.04104
156,bit,0.04104
156,always,0.04104
155,un,0.04078
155,life,0.04078
155,ever,0.04078
155,communications,0.04078
154,thought,0.04051
153,wrong,0.04025
153,possible,0.04025
153,either,0.04025
152,three,0.03999
152,rather,0.03999
151,unseen,0.03972
151,story,0.03972
150,issue,0.03946
150,devel,0.03946
150,called,0.03946
149,received,0.0392
149,man,0.0392
149,ham,0.0392
149,ago,0.0392
146,systems,0.03841
146,service,0.03841
145,name,0.03814
145,looking,0.03814
145,local,0.03814
144,rights,0.03788
144,lists,0.03788
143,wed,0.03762
143,start,0.03762
142,seem,0.03736
142,quite,0.03736
142,easy,0.03736
141,java,0.03709
141,directory,0.03709
140,tell,0.03683
140,second,0.03683
140,fact,0.03683
139,companies,0.03657
138,subscription,0.0363
138,nice,0.0363
138,cell,0.0363
137,women,0.03604
137,seen,0.03604
137,little,0.03604
137,law,0.03604
136,per,0.03578
136,often,0.03578
135,week,0.03551
135,war,0.03551
135,experience,0.03551
134,welcome,0.03525
132,others,0.03472
132,bad,0.03472
130,preferences,0.0342
130,large,0.0342
130,away,0.0342
129,stop,0.03394
129,pretty,0.03394
129,able,0.03394
128,workers,0.03367
128,mon,0.03367
128,august,0.03367
127,show,0.03341
127,hard,0.03341
127,anyway,0.03341
126,include,0.03315
125,lost,0.03288
125,looks,0.03288
125,hit,0.03288
125,access,0.03288
124,makes,0.03262
124,load,0.03262
124,including,0.03262
124,false,0.03262
123,services,0.03236
123,post,0.03236
123,person,0.03236
123,john,0.03236
123,country,0.03236
122,tired,0.03209
122,states,0.03209
122,means,0.03209
122,available,0.03209
121,political,0.03183
121,geek,0.03183
121,call,0.03183
120,word,0.03157
120,window,0.03157
120,mean,0.03157
120,kind,0.03157
120,global,0.03157
120,following,0.03157
119,size,0.0313
119,lib,0.0313
119,header,0.0313
118,true,0.03104
118,signature,0.03104
118,question,0.03104
118,copyright,0.03104
118,bug,0.03104
117,single,0.03078
117,reason,0.03078
117,posted,0.03078
117,million,0.03078
116,sun,0.03052
116,heaven,0.03052
115,upon,0.03025
115,making,0.03025
115,half,0.03025
115,address,0.03025
114,networks,0.02999
112,top,0.02946
112,small,0.02946
112,python,0.02946
112,perhaps,0.02946
112,gets,0.02946
112,configure,0.02946
111,words,0.0292
111,rules,0.0292
111,power,0.0292
111,interesting,0.0292
111,headers,0.0292
111,given,0.0292
111,almost,0.0292
110,training,0.02894
110,job,0.02894
109,understand,0.02867
109,industry,0.02867
109,everything,0.02867
109,center,0.02867
109,although,0.02867
108,write,0.02841
108,went,0.02841
108,several,0.02841
107,similar,0.02815
107,search,0.02815
107,love,0.02815
106,via,0.02789
106,program,0.02789
106,os,0.02789
106,language,0.02789
106,digital,0.02789
105,report,0.02762
105,needs,0.02762
105,lines,0.02762
105,latest,0.02762
104,whole,0.02736
104,results,0.02736
104,process,0.02736
104,mark,0.02736
104,hi,0.02736
104,friends,0.02736
104,box,0.02736
103,united,0.0271
103,performance,0.0271
103,future,0.0271
103,bush,0.0271
103,believe,0.0271
103,added,0.0271
102,update,0.02683
102,needed,0.02683
102,men,0.02683
102,guess,0.02683
102,device,0.02683
101,university,0.02657
101,move,0.02657
101,hardware,0.02657
101,base,0.02657
100,return,0.02631
100,remove,0.02631
100,exactly,0.02631
100,currently,0.02631
100,changed,0.02631
99,worth,0.02604
99,recent,0.02604
99,level,0.02604
99,known,0.02604
99,hand,0.02604
99,echo,0.02604
99,days,0.02604
99,bill,0.02604
98,whether,0.02578
98,trade,0.02578
98,tied,0.02578
98,important,0.02578
98,application,0.02578
97,sort,0.02552
97,machine,0.02552
97,design,0.02552
97,article,0.02552
96,market,0.02525
96,live,0.02525
96,full,0.02525
96,fine,0.02525
96,family,0.02525
96,begin,0.02525
95,told,0.02499
95,past,0.02499
95,development,0.02499
95,behalf,0.02499
95,across,0.02499
94,play,0.02473
94,mind,0.02473
94,drive,0.02473
